Cutoff,Array Size,Serial Time
6.111111,936363.636364,0.126404
6.111111,945454.545455,0.128820
6.111111,954545.454545,0.131236
6.111111,963636.363636,0.133652
6.111111,972727.272727,0.136067
6.111111,981818.181818,0.138483
6.111111,990909.090909,0.140899
6.111111,1000000.000000,0.143315
6.222222,100000.000000,0.000000
6.222222,109090.909091,0.013374
6.222222,118181.818182,0.014692
6.222222,127272.727273,0.016010
6.222222,136363.636364,0.017328
6.222222,145454.545455,0.018646
6.222222,154545.454545,0.019965
6.222222,163636.363636,0.021283
6.222222,172727.272727,0.022601
6.222222,181818.181818,0.023919
6.222222,190909.090909,0.025237
6.222222,200000.000000,0.026556
6.222222,209090.909091,0.028535
6.222222,218181.818182,0.030515
6.222222,227272.727273,0.032495
6.222222,236363.636364,0.034475
6.222222,245454.545455,0.036455
6.222222,254545.454545,0.038434
6.222222,263636.363636,0.040414
6.222222,272727.272727,0.042394
6.222222,281818.181818,0.044374
6.222222,290909.090909,0.046354
6.222222,300000.000000,0.048333
6.222222,309090.909091,0.049588
6.222222,318181.818182,0.050842
6.222222,327272.727273,0.052096
6.222222,336363.636364,0.053350
6.222222,345454.545455,0.054604
6.222222,354545.454545,0.055859
6.222222,363636.363636,0.057113
6.222222,372727.272727,0.058367
6.222222,381818.181818,0.059621
6.222222,390909.090909,0.060875
6.222222,400000.000000,0.062130
6.222222,409090.909091,0.063310
6.222222,418181.818182,0.064490
6.222222,427272.727273,0.065670
6.222222,436363.636364,0.066850
6.222222,445454.545455,0.068030
6.222222,454545.454545,0.069210
6.222222,463636.363636,0.070391
6.222222,472727.272727,0.071571
6.222222,481818.181818,0.072751
6.222222,490909.090909,0.073931
6.222222,500000.000000,0.075111
6.222222,509090.909091,0.076645
6.222222,518181.818182,0.078178
6.222222,527272.727273,0.079712
6.222222,536363.636364,0.081246
6.222222,545454.545455,0.082779
6.222222,554545.454545,0.084313
6.222222,563636.363636,0.085847
6.222222,572727.272727,0.087380
6.222222,581818.181818,0.088914
6.222222,590909.090909,0.090448
6.222222,600000.000000,0.091981
6.222222,609090.909091,0.092978
6.222222,618181.818182,0.093975
6.222222,627272.727273,0.094971
6.222222,636363.636364,0.095968
6.222222,645454.545455,0.096965
6.222222,654545.454545,0.097961
6.222222,663636.363636,0.098958
6.222222,672727.272727,0.099955
6.222222,681818.181818,0.100951
6.222222,690909.090909,0.101948
6.222222,700000.000000,0.102945
