Cutoff,Array Size,Parallel Time
3.393939,727272.727273,0.023826
3.393939,736363.636364,0.024076
3.393939,745454.545455,0.024326
3.393939,754545.454545,0.024576
3.393939,763636.363636,0.024826
3.393939,772727.272727,0.025076
3.393939,781818.181818,0.025326
3.393939,790909.090909,0.025576
3.393939,800000.000000,0.025826
3.393939,809090.909091,0.026083
3.393939,818181.818182,0.026341
3.393939,827272.727273,0.026598
3.393939,836363.636364,0.026856
3.393939,845454.545455,0.027114
3.393939,854545.454545,0.027371
3.393939,863636.363636,0.027629
3.393939,872727.272727,0.027886
3.393939,881818.181818,0.028144
3.393939,890909.090909,0.028402
3.393939,900000.000000,0.028659
3.393939,909090.909091,0.028951
3.393939,918181.818182,0.029243
3.393939,927272.727273,0.029535
3.393939,936363.636364,0.029827
3.393939,945454.545455,0.030119
3.393939,954545.454545,0.030411
3.393939,963636.363636,0.030703
3.393939,972727.272727,0.030995
3.393939,981818.181818,0.031287
3.393939,990909.090909,0.031579
3.393939,1000000.000000,0.031871
3.464646,100000.000000,0.000000
3.464646,109090.909091,0.003097
3.464646,118181.818182,0.003345
3.464646,127272.727273,0.003594
3.464646,136363.636364,0.003842
3.464646,145454.545455,0.004090
3.464646,154545.454545,0.004339
3.464646,163636.363636,0.004587
3.464646,172727.272727,0.004836
3.464646,181818.181818,0.005084
3.464646,190909.090909,0.005332
3.464646,200000.000000,0.005581
3.464646,209090.909091,0.005888
3.464646,218181.818182,0.006196
3.464646,227272.727273,0.006504
3.464646,236363.636364,0.006811
3.464646,245454.545455,0.007119
3.464646,254545.454545,0.007427
3.464646,263636.363636,0.007734
3.464646,272727.272727,0.008042
3.464646,281818.181818,0.008349
3.464646,290909.090909,0.008657
3.464646,300000.000000,0.008965
3.464646,309090.909091,0.009304
3.464646,318181.818182,0.009643
3.464646,327272.727273,0.009983
3.464646,336363.636364,0.010322
3.464646,345454.545455,0.010661
3.464646,354545.454545,0.011000
3.464646,363636.363636,0.011340
3.464646,372727.272727,0.011679
